instance_name,node_label,dof,event_type,first_source_file,first_occurrence_line,first_context,physical_component_category,proposed_action
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,2777,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY: THE MAXIMUM NUMBER OF | NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN,global/unspecified,correlate with the immediately preceding solver node diagnostics
,,,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,2778,NUMERICAL SINGULARITY CHECKS MESSAGES PRINTED FOR THIS INCREMENT | HAS BEEN REACHED. THE OUTPUT OF THESE MESSAGES IS SUPRESSED UNTIL | THE END OF THE INCREMENT TO AVOID POTENTIALLY LARGE INCREASES IN | THE SYSTEM TIME NEEDED TO COMPLETE THE ANALYSIS.,global/unspecified,correlate with the immediately preceding solver node diagnostics
CUTOFF_WALL_POWERHOUSE_I,36,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,612,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.36 D.O.F. 2 RATIO = 182.529E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
CUTOFF_WALL_POWERHOUSE_I,49,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,616,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.49 D.O.F. 2 RATIO = 1.67659E+12.,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
CUTOFF_WALL_POWERHOUSE_I,49,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,620,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.49 D.O.F. 3 RATIO = 578.001E+09 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
CUTOFF_WALL_POWERHOUSE_I,50,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,624,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.50 D.O.F. 1 RATIO = 937.416E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
CUTOFF_WALL_POWERHOUSE_I,50,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,628,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.50 D.O.F. 2 RATIO = 725.362E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
CUTOFF_WALL_POWERHOUSE_I,50,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,632,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | CUTOFF_WALL_POWERHOUSE_I.50 D.O.F. 3 RATIO = 534.666E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1744,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.31 D.O.F. 3 RATIO = 195.665E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1748,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.34 D.O.F. 1 RATIO = 101.270E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1752,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.34 D.O.F. 3 RATIO = 779.694E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1756,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.38 D.O.F. 1 RATIO = 799.331E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1760,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.38 D.O.F. 2 RATIO = 1.23895E+15.,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_01_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,1764,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_01_I.38 D.O.F. 3 RATIO = 41.0717E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,31,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,852,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.31 D.O.F. 3 RATIO = 252.130E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,34,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,856,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.34 D.O.F. 1 RATIO = 138.107E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,34,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,860,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.34 D.O.F. 3 RATIO = 41.2401E+15 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,38,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,864,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.38 D.O.F. 1 RATIO = 50.0802E+12 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,38,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,868,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.38 D.O.F. 2 RATIO = 12.7270E+15 .,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
ECO_RELEASE_02_I,38,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,872,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | ECO_RELEASE_02_I.38 D.O.F. 3 RATIO = 3.34475E+12.,other appurtenant structure (C),suppress in core; inspect geometry and restore only with source-supported load path
FISHWAY_SEGMENT_01_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,214,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.2 D.O.F. 1 RATIO = 14.2162E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_01_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,218,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.5 D.O.F. 1 RATIO = 575.879E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_01_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,222,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.5 D.O.F. 3 RATIO = 103.693E+15 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_01_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,226,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.8 D.O.F. 1 RATIO = 561.679E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_01_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,230,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.8 D.O.F. 2 RATIO = 250.526E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_01_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,234,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_01_I.8 D.O.F. 3 RATIO = 208.150E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,262,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.2 D.O.F. 1 RATIO = 1.28846E+12.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,266,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.5 D.O.F. 1 RATIO = 1.56298E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,270,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.5 D.O.F. 3 RATIO = 1.25009E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,274,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.8 D.O.F. 1 RATIO = 490.669E+15 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,278,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.8 D.O.F. 2 RATIO = 303.711E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_02_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,282,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_02_I.8 D.O.F. 3 RATIO = 2.56546E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,286,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.2 D.O.F. 1 RATIO = 11.6614E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,290,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.5 D.O.F. 1 RATIO = 347.090E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,294,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.5 D.O.F. 3 RATIO = 1.73586E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,298,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.8 D.O.F. 1 RATIO = 3.38366E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,302,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.8 D.O.F. 2 RATIO = 992.236E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_03_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,306,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_03_I.8 D.O.F. 3 RATIO = 1.46477E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,142,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.2 D.O.F. 1 RATIO = 3.57562E+12.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,146,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.5 D.O.F. 1 RATIO = 1.88327E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,150,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.5 D.O.F. 3 RATIO = 2.40627E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,154,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.8 D.O.F. 1 RATIO = 2.13991E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,158,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.8 D.O.F. 2 RATIO = 843.334E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_04_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,162,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_04_I.8 D.O.F. 3 RATIO = 10.3644E+15 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,382,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.2 D.O.F. 1 RATIO = 2.17852E+12.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,386,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.5 D.O.F. 1 RATIO = 4.91062E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,390,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.5 D.O.F. 3 RATIO = 1.93692E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,394,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.8 D.O.F. 1 RATIO = 166.354E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,398,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.8 D.O.F. 2 RATIO = 1.24711E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_05_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,402,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_05_I.8 D.O.F. 3 RATIO = 1.43895E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,2,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,924,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.2 D.O.F. 1 RATIO = 637.033E+09 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,5,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,928,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.5 D.O.F. 1 RATIO = 248.799E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,5,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,932,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.5 D.O.F. 3 RATIO = 1.71989E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,8,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,936,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.8 D.O.F. 1 RATIO = 3.50361E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,8,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,940,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.8 D.O.F. 2 RATIO = 1.29933E+15.,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
FISHWAY_SEGMENT_06_I,8,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,944,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | FISHWAY_SEGMENT_06_I.8 D.O.F. 3 RATIO = 509.840E+12 .,fishway / small appurtenance (C),suppress in core; restore fishway group only after defining real support/contact
LEFT_SUBDAM_I,63,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,478,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.63 D.O.F. 2 RATIO = 457.624E+09 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
LEFT_SUBDAM_I,107,1,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,490,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.107 D.O.F. 1 RATIO = 117.974E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
LEFT_SUBDAM_I,107,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,494,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.107 D.O.F. 2 RATIO = 216.267E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
LEFT_SUBDAM_I,107,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,498,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.107 D.O.F. 3 RATIO = 661.229E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
LEFT_SUBDAM_I,108,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,482,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.108 D.O.F. 2 RATIO = 52.1580E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
LEFT_SUBDAM_I,108,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,486,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | LEFT_SUBDAM_I.108 D.O.F. 3 RATIO = 120.602E+12 .,main dam/foundation/geology (A),retain; repair only with shared nodes or a geometrically valid supporting interface
POWERHOUSE_INSTALLATION_BAY_I,36,3,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,430,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.36 D.O.F. 3 RATIO = 551.494E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
POWERHOUSE_INSTALLATION_BAY_I,40,2,NUMERICAL_SINGULARITY,v12_3d_fullrun.msg,434,***WARNING: SOLVER PROBLEM. NUMERICAL SINGULARITY WHEN PROCESSING NODE | POWERHOUSE_INSTALLATION_BAY_I.40 D.O.F. 2 RATIO = 27.1962E+12 .,powerhouse structure (B),suppress in core; restore powerhouse group with a verified foundation load path
